,,,,,,,,,Тут ПО для рассмотрения,Описание,"уверенность, что надо рассматривать",примечание
drwxr-xr-x,83,root,root,16384,May,28,20:13:00,.,нет,,да,
dr-xr-xr-x.,25,root,root,4096,Nov,1,2024,..,нет,,да,
drwxr-xr-x,2,root,root,4096,Mar,10,2021,analysis,? нет,"Вывод MPIP, скрипт upload.py  ",нет,
drwx------,3,root,root,4096,Jul,7,2017,archive,нет,Внутри дирекория modulefiles7: конфиги для окружения linux,да,
drwxr-xr-x,10,root,root,4096,Dec,10,2018,aspera,да,"Программное обеспечение IBM Aspera, предназначенное для быстрой и надежной передачи данных. ",да,
drwxr-xr-x,3,root,root,4096,Aug,8,2019,aur_license,? да, Vector System License Server (скорее всего сервер лицензий),нет,
drwxr-xr-x,3,root,root,4096,Feb,25,2016,autoconf,да,"Autoconf — утилита для создания конфигурационных скриптов (configure), которые автоматически настраивают пакеты с исходным кодом для работы в Unix-подобных операционных системах. ",да,
drwxr-xr-x,4,root,root,4096,May,15,2024,automake,да,Automake — утилита для автоматической генерации файлов Makefile.in из файлов Makefile.am. ,да,
drwxr-xr-x,43,root,root,8192,Dec,28,2022,BAK,? нет,Бэкап ПО,нет,
-rwxr-xr-x,1,root,root,4819,May,30,2019,ccc,нет,Доступ к sudo на некоторые команды пользователю maxtt2007_2097,да,
drwxrwxr-x,83,root,ccoe,12288,Apr,10,17:53:00,ccoe,да,директория с пакетами,да,
drwxr-xr-x,13,render,root,4096,Dec,24,2019,cgf,? да,"Внутри есть houdini, cgru",нет,
drwxrwxr-x,12,render,root,4096,May,22,2019,cgru,да,"Free And Open Source CG Tools Pack. Includes Afanasy render farm manager, Rules project tracker and tools around it.",да,
-rw-r--r--,1,root,root,0,Sep,28,2020,check-status,нет,пустой,нет,
drwxr-xr-x,7,root,root,4096,Feb,25,2016,clang,да,Clang компилятор,да,Не работает компилятор clang
drwxr-xr-x,6,root,root,4096,Feb,25,2016,cmake,да,"CMake - Cross Platform Makefile Generator
",да,
drwxr-xr-x,14,root,root,4096,Aug,26,2016,collectd,да,The system statistics collection daemon,да,пустая поддиректрия бин
drwxr-xr-x,10,root,root,4096,Nov,16,2017,collectd-5.5,да,The system statistics collection daemon,да,
drwxr-xr-x,4,root,root,4096,Mar,4,2024,conda_env,? ,окружение для конды,нет,
drwx--x--x,5,root,root,4096,Aug,24,2022,containerd,? ,пустая директория с доступом только для рута,?,
drwxr-xr-x,13,root,root,4096,Aug,15,2024,cuda,да,CUDA,да,
drwxrwxr-t,23,woker,project_1276,4096,Mar,6,00:52:00,dimonta,да,"Внутри mopac,  anaconda",да,
drwxr-xr-x,6,korzh,root,4096,Feb,25,2016,dislib,,Dislib — Distributed computing library implemented over PyCOMPSs programming model for HPC.,,
drwxr-xr-x,12,root,root,4096,Sep,20,2021,DOC,,,,
drwxr-xr-x,4,practice,root,4096,Nov,14,2018,docker,,,,
drwxr-xr-x,4,root,root,4096,Nov,23,2018,emc,,,,
drwxr-xr-x,3,root,root,4096,Jun,6,2020,extra,,,,
drwxr-xr-x,3,root,root,4096,Jan,10,2020,flexnetserver,,,,
drwxr-xr-x,9,root,root,4096,Feb,25,2016,gcc,,,,
drwxr-xr-x,9,root,root,4096,Feb,25,2016,gnustep,,,,
-rw-r--r--,1,root,root,187,May,31,2019,h,,,,
drwxrwxr-x,9,render,render,4096,Dec,8,2015,hfs15.0.313,,,,
drwxr-xr-x,9,render,render,4096,May,12,2016,hfs15.0.459,,,,
drwxr-xr-x,3,render,render,8192,Oct,13,2016,houdini_libs,,,,
drwxr-xr-x,10,vadim,root,4096,Mar,15,2021,hpctools,,,,
drwxr-xr-x,14,root,root,4096,Jun,28,2017,hpcx-v1.9.5-gcc-MLNX_OFED_LINUX-4.1-1.0.2.0-redhat7.1-x86_64,,,,
drwxr-xr-x,3,root,root,4096,Feb,5,2020,ib_guids,,,,
drwxr-xr-x,7,root,root,4096,Feb,25,2016,ibutils,,,,
drwxr-x---,3,root,legkozapomnit_1864,4096,Feb,25,2021,ibutils.pvt,,,,
drwxr-xr-x,78,root,root,49152,Jul,2,2024,intel,,,,
drwxr-xr-x,6,root,root,4096,Feb,25,2016,java,,,,
drwxr-xr-x,9,root,root,4096,Feb,25,2016,knem-1.1.1.90mlnx,,,,
drwxr-xr-x,9,root,root,4096,Jun,27,2017,knem-1.1.2.90mlnx2,,,,
drwxr-xr-x,8,root,root,4096,Dec,3,21:36:00,knem-1.1.3.90mlnx1,,,,
lrwxrwxrwx,1,root,root,18,Feb,13,2017,libpapi.so,->,libpapi.so.5.2.0.0,,
lrwxrwxrwx,1,root,root,18,Feb,13,2017,libpapi.so.5,->,libpapi.so.5.2.0.0,,
lrwxrwxrwx,1,root,root,18,Feb,13,2017,libpapi.so.5.2,->,libpapi.so.5.2.0.0,,
-rwxr-xr-x,1,root,root,469496,Feb,13,2017,libpapi.so.5.2.0.0,,,,
-rwxr-xr-x,1,root,root,1482208,Feb,14,2017,libpfm.so,,,,
-rwxr-xr-x,1,root,root,1482208,Feb,14,2017,libpfm.so.4,,,,
-rwxr-xr-x,1,root,root,1482208,Feb,14,2017,libpfm.so.4.4.0,,,,
drwxr-xr-x,4,root,root,4096,Feb,25,2016,libtool,,,,
drwx------,3,root,root,4096,Sep,16,2020,Lost+Found.2,,,,
drwxr-xr-x,5,root,root,4096,Feb,28,2024,make,,,,
drwxr-xr-x,14,root,root,4096,May,12,2020,mellanox,,,,
drwxr-xr-x,4,root,root,4096,Feb,25,2016,mellanox-sdk,,,,
drwxr-xr-x,25,root,root,4096,Sep,14,2017,modulefiles,,,,
drwxr-xr-x,47,root,root,8192,Apr,10,18:12:00,modulefiles7,,,,
drwxr-xr-x,40,root,root,8192,Aug,28,2024,mpi,,,,
drwxr-xr-x,6,root,root,4096,Nov,23,2018,Navisphere,,,,
drwxr-xr-x,5,root,root,4096,Aug,25,2021,nec,,,,
drwxr-xr-x,4,root,root,4096,Dec,3,21:39:00,neohost,,,,
drwxr-xr-x,3,root,root,4096,Sep,20,2023,nmon,,,,
drwxr-xr-x,6,root,root,4096,Nov,8,2019,nmon_old,,,,
drwxr-xr-x,3,root,root,4096,Jul,22,2022,nodetest,,,,
drwxr-xr-x,7,root,root,4096,Jan,29,2021,nvidia,,,,
drwxr-xr-x,4,root,root,8192,Jan,11,01:36:00,octo,,,,
drwxr-xr-x,2,root,root,4096,Nov,12,2024,opt,,,,
drwxr-xr-x,4,root,root,4096,Aug,12,2016,osu,,,,
-rwxr-xr-x,1,root,root,0,Mar,11,2021,papi_avail,,,,
-rwxr-xr-x,1,root,root,559,Jun,26,2019,paradigm.mount,,,,
-rwxr-xr-x,1,root,root,453,Jun,26,2019,paradigm.umount,,,,
drwxr-xr-x,7,root,root,4096,Sep,20,2019,pgi,,,,
drwxr-xr-x,6,root,root,4096,Jun,29,2016,phoronix-test-suite,,,,
-rwxr-xr-x,1,root,root,8977,Sep,7,2016,pwnam,,,,
-rw-r--r--,1,root,root,0,Sep,3,2021,qwe,,,,
drwxr-xr-x,7,root,root,4096,May,12,2021,rh,,,,
-rw-r--r--,1,root,root,858821042,Sep,23,2016,r.tgz,,,,
drwxr-xr-x,4,root,root,4096,Feb,12,2018,schrodinger,,,,
-rw-r--r--,1,render,render,175,Sep,22,2016,setup_cgf.sh,,,,
drwxr-xr-x,3,root,root,4096,Apr,9,20:48:00,sin_cont,,,,
drwxr-xr-x,8,root,root,4096,Feb,25,2016,slurm,,,,
drwxr-xr-x,8,aln,root,4096,Feb,25,2016,slurm.old,,,,
drwxr-xr-x,26,root,root,12288,Sep,28,2018,so,,,,
drwxr-xr-x,24,root,root,16384,Feb,14,2020,soft,,,,
drwxr-xr-x,85,root,root,12288,Nov,27,2024,software,,,,
drwxrwxr-x,24,root,root,8192,Oct,13,2023,SRC,,,,
-r--r-----,1,root,root,4407,Jun,20,2019,sudoers,,,,
drwx--x--x,13,support,root,8192,Jul,4,2023,support,,,,
drwxr-xr-x,4,root,root,4096,Nov,2,2017,syssoft,,,,
drw-------,7,root,root,4096,Feb,25,2016,tests,,,,
drwxr-xr-x,2,root,root,4096,May,28,20:29:00,tmp,,,,
drwxrwxr-x,6,root,root,4096,May,13,2019,toolworks,,,,
-rwxr-xr-x,1,root,root,2030,Nov,27,2020,tst,,,,
-rwxr-xr-x,1,root,root,629,Nov,26,2020,tst-g,,,,
drwxr-xr-x,21,root,root,4096,Feb,10,2021,ve,,,,
drwxr-xr-x,5,root,root,4096,Jul,1,2019,VirtualGL,,,,
drwxr-xr-x,3,root,root,4096,Oct,17,2023,vm,,,,
drwxr-xr-x,8,root,root,4096,May,20,2019,x11-fonts,,,,
drwxr-xr-x,8,root,root,4096,Jul,8,2019,xalt,,,,
drwxr-xr-x,8,root,root,4096,Jul,8,2019,xalt-0.5.0,,,,
drwxr-xr-x,4,root,root,4096,Jul,10,2019,xalt2,,,,
drwxr-xr-x,7,root,root,376832,Nov,26,2024,xcat,,,,
xcat,,,,,,,,,,,,
