name,is_enabled,description,comment,src_file,group,priority,confidence,criticalness,suggestion,text_recommendation,module_recommendation
rule_ml_anomaly,1,Задача выполняется аномально неэффективно.,Классификатор Дениса отметил данную задачу как аномальную.,rules_integral_based.py,disaster,1,5,5,Задача работает некорректно или зависла.,Рекомендуется проверить корректность запуска и при необходимости отменить его.,---
rule_anomaly,1,Чрезвычайно низкая активность использования всех доступных ресурсов.,Средняя загрузка процессора и средний load average катастрофически низки; загрузка ГПУ также очень низкая. ,rules_integral_based.py,disaster,1,5,5,Задача работает некорректно или зависла.,Рекомендуется проверить корректность запуска и при необходимости отменить его.,---
rule_avg_disbalance,0,Интенсивность использования ресурсов сильно отличается на разных узлах.,TODO,rules_integral_based.py,disbalance,1,2,3,Разбалансировка нагрузки между узлами.,1) Анализ динамики выполнения приложения;2) Общий анализ последовательных программ (если нет MPI);3) Анализ MPI -> Профилировка (если MPI есть).,"execution_dynamics,general_serial_analysis,mpi_profiling"
rule_node_disbalance,0,"Данные мониторинга сильно отличаются для разных узлов -> скорее всего, имеет место разбалансировка. Правило имеет смысл учитывать, если не сработали более конкретные правила",TODO,rules_integral_based.py,disbalance,1,2,3,Разбалансировка нагрузки между узлами.,1) Анализ динамики выполнения приложения;2) Общий анализ последовательных программ (если нет MPI);3) Анализ MPI -> Профилировка (если MPI есть).,"execution_dynamics,general_serial_analysis,mpi_profiling"
rule_disbalance_cpu_la,1,Заметный дисбаланс внутри узлов либо активность сильно отличается на разных узлах.,max_cpu_user * avg_loadavg  / (avg_cpu_user * 28),rules_integral_based.py,disbalance,1,2,3,Разбалансировка нагрузки внутри узла либо между узлами.,1) Анализ динамики выполнения приложения;2) Общий анализ последовательных программ (если нет MPI);3) Анализ MPI -> Профилировка (если MPI есть).,"execution_dynamics,general_serial_analysis,mpi_profiling"
rule_mem_disbalance,1,Заметный дисбаланс внутри узлов по использовании памяти.,not check_class_susp and: 1) low load and store; or 2) low_l1_miss + low load or store; or 3) low_l1_miss + low_llc_miss + not very high load and store,rules_integral_based.py,disbalance,1,2,3,"Такой заметный дисбаланс приводит к снижению эффективности работы программы, поскольку одним узлам приходится ждать другие.",1) Анализ динамики выполнения приложения;2) Общий анализ последовательных программ; 3) Анализ работы с памятью -> Эффективность.,"execution_dynamics,general_serial_analysis,mpi_profiling,memory_efficiency"
rule_ml_suspicious,1,"Данная задача обладает подозрительно низкой эффективностью выполнения, по сравнению с остальными задачами на данном суперкомпьютере. Скорее всего, в задаче присутствуют существенные проблемы с эффективностью.",Классификатор Дениса отметил данную задачу как подозрительную.,rules_integral_based.py,general_low_efficiency,1,3,3,"Программа без видимых внешних причин работает недостаточно эффективно, по сравнению с остальными задачами на данном суперкомпьютере. На данном этапе недостаточно информации для определения причин данной неэффективности.",Общий анализ последовательных программ,general_serial_analysis
rule_low_ipc,1,Скорость выполнения инструкций слишком мала. При этом не наблюдается высокой внешней активности (расчетов на ГПУ или передачи данных по сети).,thr_low_ipc AND class_not_comm AND thr_low_gpu_load,rules_integral_based.py,general_low_efficiency,1,2,3,Программа без видимых внешних причин работает недостаточно эффективно. На данном этапе недостаточно информации для определения причин данной неэффективности.,Общий анализ последовательных программ,general_serial_analysis
rule_cpu_gpu,1,Задача слабо использует CPU при высокой загрузке GPU. ,class_gpu_pure,rules_tag_based.py,gpu_based,1,2,3,"Можно попробовать одновременно загружать и CPU, и GPU.",Анализ работы с ускорителями,accelerator_analysis
rule_more_cpu_gpu,1,Задача практически не использует CPU при высокой загрузке GPU.,class_gpu_pure AND tag_less_suspicious (без части про ГПУ),rules_tag_based.py,gpu_based,2,3,4,"Можно попробовать одновременно загружать и CPU, и GPU.",Анализ работы с ускорителями,accelerator_analysis
rule_mpi_disbalance,1,Большой дислабанс на узлах между средним объемом передаваемых и получаемых данных по MPI сети.,num_nodes > 1 AND NOT tag_low_ib_mpiAND (xmit_mpi/recv_data > MPI_DISBALANCE) OR (xmit_mpi/recv_data  < 1.0/MPI_DISBALANCE),rules_integral_based.py,incorrect_behavior,1,2,3,"Вероятно, некорректное использование MPI.",Анализ MPI программ -> Профилировка,mpi_profiling
rule_irq_iowait,1,Слишком высокая IRQ или IOWAIT загрузка.,thr_high_cpu_irq OR thr_high_cpu_iowait,rules_integral_based.py,incorrect_behavior,1,2,3,"Вероятно, некорректный режим работы задачи.",Рекомендуется проверить параметры запуска задачи.,---
rule_nice,1,Слишком высокая NICE загрузка.,thr_high_cpu_nice,rules_integral_based.py,incorrect_behavior,1,2,3,Используются процессы с низким приоритетом.,Рекомендуется перезапустить задачу с нормальным приоритетом.,---
rule_mpi_many_operations,0,"Низкая интенсивность использования MPI сети, однако число MPI операций велико.",TODO,rules_integral_based.py,inefficient_mpi,1,2,3,"Вероятно, работа с MPI организована неэффективно.",Анализ MPI программ -> Профилировка,mpi_profiling
rule_mpi_issues,1,Низкая активность использования вычислительных ресурсов при высокой интенсивности использования MPI сети.,class_less_suspicious AND (tag_comm_data OR tag_comm_pckts),rules_tag_based.py,inefficient_mpi,1,3,4,"Выполнение MPI операций, вероятно, занимает слишком много времени, требуется оптимизация.",Анализ MPI программ -> Профилировка,mpi_profiling
